Periodo,Dominio,Pilar,Score,Dominio_Geom,Dominio_Aritm,Penalizacion_Deseq,Es_Cuello_Botella,Es_Fortaleza
2016Q1,Sociedades Inclusivas,1. Seguridad,49.92045734957451,63.00467077658491,64.8555385406873,1.8508677641023965,False,False
2016Q1,Sociedades Inclusivas,2. Libertad,84.88972077474199,63.00467077658491,64.8555385406873,1.8508677641023965,False,True
2016Q1,Sociedades Inclusivas,3. Gobernanza,49.51436170230163,63.00467077658491,64.8555385406873,1.8508677641023965,True,False
2016Q1,Sociedades Inclusivas,4. Capital Social,75.09761433613106,63.00467077658491,64.8555385406873,1.8508677641023965,False,False
2016Q2,Sociedades Inclusivas,1. Seguridad,48.80266588846874,61.77134088206546,63.786560773957405,2.0152198918919453,False,False
2016Q2,Sociedades Inclusivas,2. Libertad,83.95911915657935,61.77134088206546,63.786560773957405,2.0152198918919453,False,True
2016Q2,Sociedades Inclusivas,3. Gobernanza,47.36654771272251,61.77134088206546,63.786560773957405,2.0152198918919453,True,False
2016Q2,Sociedades Inclusivas,4. Capital Social,75.017910338059,61.77134088206546,63.786560773957405,2.0152198918919453,False,False
2016Q3,Sociedades Inclusivas,1. Seguridad,48.1420165482133,61.22199159983968,63.379350558293936,2.157358958454253,False,False
2016Q3,Sociedades Inclusivas,2. Libertad,83.73501358951819,61.22199159983968,63.379350558293936,2.157358958454253,False,True
2016Q3,Sociedades Inclusivas,3. Gobernanza,46.18700900369869,61.22199159983968,63.379350558293936,2.157358958454253,True,False
2016Q3,Sociedades Inclusivas,4. Capital Social,75.4533630917456,61.22199159983968,63.379350558293936,2.157358958454253,False,False
2016Q4,Sociedades Inclusivas,1. Seguridad,47.23511342439342,61.08315649506663,63.38052495115751,2.2973684560908794,False,False
2016Q4,Sociedades Inclusivas,2. Libertad,84.11064841623701,61.08315649506663,63.38052495115751,2.2973684560908794,False,True
2016Q4,Sociedades Inclusivas,3. Gobernanza,45.99786622423351,61.08315649506663,63.38052495115751,2.2973684560908794,True,False
2016Q4,Sociedades Inclusivas,4. Capital Social,76.1784717397661,61.08315649506663,63.38052495115751,2.2973684560908794,False,False
2017Q1,Sociedades Inclusivas,1. Seguridad,40.981032505771935,57.56663763266935,60.00849369733986,2.4418560646705103,True,False
2017Q1,Sociedades Inclusivas,2. Libertad,77.02738806340695,57.56663763266935,60.00849369733986,2.4418560646705103,False,True
2017Q1,Sociedades Inclusivas,3. Gobernanza,45.406647229703566,57.56663763266935,60.00849369733986,2.4418560646705103,False,False
2017Q1,Sociedades Inclusivas,4. Capital Social,76.61890699047702,57.56663763266935,60.00849369733986,2.4418560646705103,False,False
2017Q2,Sociedades Inclusivas,1. Seguridad,42.414988452592006,60.04726916583187,62.139454154602745,2.0921849887708746,True,False
2017Q2,Sociedades Inclusivas,2. Libertad,77.90690687550494,60.04726916583187,62.139454154602745,2.0921849887708746,False,True
2017Q2,Sociedades Inclusivas,3. Gobernanza,50.82435486576482,60.04726916583187,62.139454154602745,2.0921849887708746,False,False
2017Q2,Sociedades Inclusivas,4. Capital Social,77.41156642454922,60.04726916583187,62.139454154602745,2.0921849887708746,False,False
2017Q3,Sociedades Inclusivas,1. Seguridad,42.077820067978934,60.59853926735448,62.671879356179126,2.0733400888246436,True,False
2017Q3,Sociedades Inclusivas,2. Libertad,77.9607307212557,60.59853926735448,62.671879356179126,2.0733400888246436,False,True
2017Q3,Sociedades Inclusivas,3. Gobernanza,52.812367530664424,60.59853926735448,62.671879356179126,2.0733400888246436,False,False
2017Q3,Sociedades Inclusivas,4. Capital Social,77.83659910481745,60.59853926735448,62.671879356179126,2.0733400888246436,False,False
2017Q4,Sociedades Inclusivas,1. Seguridad,41.91090341614226,58.77077725185561,61.02901755026441,2.2582402984088006,True,False
2017Q4,Sociedades Inclusivas,2. Libertad,76.4622787423762,58.77077725185561,61.02901755026441,2.2582402984088006,False,False
2017Q4,Sociedades Inclusivas,3. Gobernanza,47.70558515025732,58.77077725185561,61.02901755026441,2.2582402984088006,False,False
2017Q4,Sociedades Inclusivas,4. Capital Social,78.03730289228189,58.77077725185561,61.02901755026441,2.2582402984088006,False,True
2018Q1,Sociedades Inclusivas,1. Seguridad,45.39016750242996,59.60831333734107,61.744654446394,2.1363411090529283,True,False
2018Q1,Sociedades Inclusivas,2. Libertad,76.80653760664833,59.60831333734107,61.744654446394,2.1363411090529283,False,False
2018Q1,Sociedades Inclusivas,3. Gobernanza,45.919537952284706,59.60831333734107,61.744654446394,2.1363411090529283,False,False
2018Q1,Sociedades Inclusivas,4. Capital Social,78.862374724213,59.60831333734107,61.744654446394,2.1363411090529283,False,True
2018Q2,Sociedades Inclusivas,1. Seguridad,44.835002761642514,60.22686793794935,61.89200327466347,1.6651353367141226,True,False
2018Q2,Sociedades Inclusivas,2. Libertad,72.21509673720112,60.22686793794935,61.89200327466347,1.6651353367141226,False,False
2018Q2,Sociedades Inclusivas,3. Gobernanza,51.29167386535985,60.22686793794935,61.89200327466347,1.6651353367141226,False,False
2018Q2,Sociedades Inclusivas,4. Capital Social,79.22623973445042,60.22686793794935,61.89200327466347,1.6651353367141226,False,True
2018Q3,Sociedades Inclusivas,1. Seguridad,44.52351387751841,57.70378970427111,60.00575019055141,2.3019604862803007,False,False
2018Q3,Sociedades Inclusivas,2. Libertad,72.59134973130352,57.70378970427111,60.00575019055141,2.3019604862803007,False,False
2018Q3,Sociedades Inclusivas,3. Gobernanza,42.847184239538,57.70378970427111,60.00575019055141,2.3019604862803007,True,False
2018Q3,Sociedades Inclusivas,4. Capital Social,80.06095291384571,57.70378970427111,60.00575019055141,2.3019604862803007,False,True
2018Q4,Sociedades Inclusivas,1. Seguridad,44.68546791151945,57.34408818870352,59.817874818021444,2.473786629317921,False,False
2018Q4,Sociedades Inclusivas,2. Libertad,72.75578688067937,57.34408818870352,59.817874818021444,2.473786629317921,False,False
2018Q4,Sociedades Inclusivas,3. Gobernanza,41.30228118805452,57.34408818870352,59.817874818021444,2.473786629317921,True,False
2018Q4,Sociedades Inclusivas,4. Capital Social,80.52796329183244,57.34408818870352,59.817874818021444,2.473786629317921,False,True
2019Q1,Sociedades Inclusivas,1. Seguridad,45.09819015283224,56.650702627071865,59.17900974017608,2.528307113104212,False,False
2019Q1,Sociedades Inclusivas,2. Libertad,70.64286372494772,56.650702627071865,59.17900974017608,2.528307113104212,False,False
2019Q1,Sociedades Inclusivas,3. Gobernanza,39.851954601011954,56.650702627071865,59.17900974017608,2.528307113104212,True,False
2019Q1,Sociedades Inclusivas,4. Capital Social,81.1230304819124,56.650702627071865,59.17900974017608,2.528307113104212,False,True
2019Q2,Sociedades Inclusivas,1. Seguridad,46.35789747738112,58.84769282117328,61.15453312352888,2.306840302355596,False,False
2019Q2,Sociedades Inclusivas,2. Libertad,72.9225160099765,58.84769282117328,61.15453312352888,2.306840302355596,False,False
2019Q2,Sociedades Inclusivas,3. Gobernanza,43.18028837377206,58.84769282117328,61.15453312352888,2.306840302355596,True,False
2019Q2,Sociedades Inclusivas,4. Capital Social,82.15743063298585,58.84769282117328,61.15453312352888,2.306840302355596,False,True
2019Q3,Sociedades Inclusivas,1. Seguridad,44.15832561916155,62.564094389286446,64.14667003756271,1.5825756482762685,True,False
2019Q3,Sociedades Inclusivas,2. Libertad,70.0888280227048,62.564094389286446,64.14667003756271,1.5825756482762685,False,False
2019Q3,Sociedades Inclusivas,3. Gobernanza,60.457759382788474,62.564094389286446,64.14667003756271,1.5825756482762685,False,False
2019Q3,Sociedades Inclusivas,4. Capital Social,81.88176712559601,62.564094389286446,64.14667003756271,1.5825756482762685,False,True
2019Q4,Sociedades Inclusivas,1. Seguridad,44.53039767674731,62.12524501565505,63.64794166886884,1.5226966532137922,True,False
2019Q4,Sociedades Inclusivas,2. Libertad,68.88731757865713,62.12524501565505,63.64794166886884,1.5226966532137922,False,False
2019Q4,Sociedades Inclusivas,3. Gobernanza,59.33752283538409,62.12524501565505,63.64794166886884,1.5226966532137922,False,False
2019Q4,Sociedades Inclusivas,4. Capital Social,81.83652858468682,62.12524501565505,63.64794166886884,1.5226966532137922,False,True
